id_unique_orig,idshift,Team_orig,Date,NHours,Start,End,StartId,EndId,idw,shiftid,Team,id_unique,seat
86173,13685,Team 2,23jun2013,123,23jun2013 09:00:00,23jun2013 19:00:00,23925,23945,14,51,10,493296,32
571670,79191,Team 12,19jun2013,99,19jun2013 08:30:00,19jun2013 18:30:00,23732,23752,84,293,10,496150,36
571670,79193,Team 12,21jun2013,99,21jun2013 08:00:00,21jun2013 17:30:00,23827,23846,84,295,10,496150,17
94083,15955,Team 11,23jun2013,81,23jun2013 09:00:00,23jun2013 18:30:00,23925,23944,17,61,10,496150,18
731314,98919,Team 12,18jun2013,122,18jun2013 07:00:00,18jun2013 16:30:00,23681,23700,106,372,1,501521,22
732892,100056,Team 1,20jun2013,55,20jun2013 06:30:00,20jun2013 11:30:00,23776,23786,107,380,1,501521,25
70164,11635,Team 11,21jun2013,68,21jun2013 22:30:00,22jun2013 06:30:00,23856,23872,12,41,1,501521,8
939721,137040,Team 14,24jun2013,39,24jun2013 07:30:00,24jun2013 13:30:00,23970,23982,146,513,1,501521,32
808284,114333,Team 1,18jun2013,92,18jun2013 11:30:00,18jun2013 19:30:00,23690,23706,124,445,4,512923,41
353379,51200,Team 4,20jun2013,83,20jun2013 11:00:00,20jun2013 21:00:00,23785,23805,56,193,4,512923,39
877787,127153,Team 1,22jun2013,49,22jun2013 09:00:00,22jun2013 14:00:00,23877,23887,134,473,4,512923,34
176945,27607,Team 1,24jun2013,72,24jun2013 12:00:00,24jun2013 22:00:00,23979,23999,33,116,4,512923,46
468416,65055,Team 10,18jun2013,46,18jun2013 15:30:00,19jun2013 00:00:00,23698,23715,70,242,5,515269,13
858604,123079,Team 8,20jun2013,27,20jun2013 14:00:00,20jun2013 20:00:00,23791,23803,130,462,5,515269,14
157283,24450,Team 15,22jun2013,93,22jun2013 16:30:00,23jun2013 01:30:00,23892,23910,29,103,5,515269,29
681130,92922,Team 1,24jun2013,61,24jun2013 15:00:00,25jun2013 00:30:00,23985,24004,98,349,5,515269,34
470453,65479,Team 3,18jun2013,52,18jun2013 15:30:00,19jun2013 00:00:00,23698,23715,71,245,5,527408,16
214894,32157,Team 12,20jun2013,104,20jun2013 15:30:00,21jun2013 01:30:00,23794,23814,37,129,5,527408,17
33554,5902,Team 12,22jun2013,94,22jun2013 17:00:00,23jun2013 01:30:00,23893,23910,5,11,5,527408,17
981411,141266,Team 4,24jun2013,100,24jun2013 15:00:00,24jun2013 22:30:00,23985,24000,151,529,5,527408,23
59950,11428,Team 5,18jun2013,64,18jun2013 12:00:00,18jun2013 18:30:00,23691,23704,11,34,4,535978,42
607083,83260,Team 9,20jun2013,85,20jun2013 11:00:00,20jun2013 20:00:00,23785,23803,90,319,4,535978,11
399447,56811,Team 12,22jun2013,95,22jun2013 09:30:00,22jun2013 17:30:00,23878,23894,60,208,4,535978,35
927082,135906,Team 5,24jun2013,35,24jun2013 12:00:00,24jun2013 17:30:00,23979,23990,145,510,4,535978,47
353379,51199,Team 4,19jun2013,83,19jun2013 06:30:00,19jun2013 16:30:00,23728,23748,56,192,8,537701,29
38178,6767,Team 7,21jun2013,67,21jun2013 03:00:00,21jun2013 05:00:00,23817,23821,6,17,8,537701,22
880808,127910,Team 2,22jun2013,54,22jun2013 21:00:00,23jun2013 07:00:00,23901,23921,135,477,8,537701,13
986245,142035,Team 12,19jun2013,87,19jun2013 17:30:00,20jun2013 04:00:00,23750,23771,152,531,14,545569,15
235272,35631,Team 8,21jun2013,21,21jun2013 18:00:00,22jun2013 04:00:00,23847,23867,41,141,14,545569,33
145233,22388,Team 2,23jun2013,80,23jun2013 22:00:00,24jun2013 06:30:00,23951,23968,26,94,14,545569,43
990611,143398,Team 2,19jun2013,72,19jun2013 13:00:00,19jun2013 23:00:00,23741,23761,154,537,12,571670,5
990611,143400,Team 2,21jun2013,72,21jun2013 12:00:00,21jun2013 21:30:00,23835,23854,154,539,12,571670,8
877773,126463,Team 13,23jun2013,72,23jun2013 16:00:00,24jun2013 00:30:00,23939,23956,133,469,12,571670,29
